museo_id,museo_nombre,museo_tematica_n1,museo_fecha_fundacion,museo_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,museo_calle_numero,museo_colonia,museo_cp,museo_telefono1,pagina_web,pagina_web2,email,twitter,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
217,Museo de Arte Contemporáneo No. 8,Arte,14/04/1991,Instituto Cultural de Aguascalientes (ICA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Morelos s/n esq. Primo Verdad,Centro,20000,(449) 918 69 01,,http://museosygalerias.com/conoce-mas/artist-2/,mac8ica@gmail.com,,-102.29483,21.8829,http://sic.gob.mx/ficha.php?table=museo&table_id=217,05/02/2020 06:57
223,Museo de Aguascalientes,Arte,22/10/1975,Instituto Cultural de Aguascalientes (ICA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Zaragoza 505,Centro,20000,(449) 916 71 42,,,museoaguascalientes@gmail.com,,-102.29129,21.88575,http://sic.gob.mx/ficha.php?table=museo&table_id=223,15/01/2021 06:34
1046,Museo José Guadalupe Posada,Arte,16/09/1972,Instituto Cultural de Aguascalientes (ICA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Jardín del Encino s/n lado Nte.,Barrio del Encino,20240,(449) 915 45 56,,,museoposada@gmail.com,,-102.29298,21.87534,http://sic.gob.mx/ficha.php?table=museo&table_id=1046,24/05/2021 03:32
1790,Museo Espacio,Arte,29/01/2016,Instituto Cultural de Aguascalientes (ICA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,"Manuel Gómez Morín s/n, Complejo Macro Espacuo para la Cultura y las Artes (MECA)",Ant. Talleres del FFCC,20259,(449) 688 41 01,,https://www.facebook.com/MuseoEspacio/,direccionmuseoespacio@hotmail.com,,-102.28105,21.89084,http://sic.gob.mx/ficha.php?table=museo&table_id=1790,06/06/2019 03:46
1069,Museo Comunitario del Juguete Tradicional Mexicano,Arte,06/11/1998,Instituto Cultural de Aguascalientes (ICA)/Programa de Apoyo a las Culturas Municipales y Comunitarias,1,Aguascalientes,11,San Francisco de los Romo,1,San Francisco de los Romo,Benito Juárez Nte. 410,Centro,20300,(465) 967 04 27,http://www.aguascalientesentumano.com/negocio/844642438f80b59b88465d5baf240d74fc15-MUSEO-COMUNITARIO-DEL-JUGUETE-TRADICIONAL-MEXICANO,,sanpancho.ica@gmail.com,,-102.27265,22.08377,http://sic.gob.mx/ficha.php?table=museo&table_id=1069,14/06/2018 13:21
1808,Museo Escárcega,Arte,21/05/2015,"Museo Escárcega, A.C.",1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Ezequiel A. Chávez 311,Barrio de la Purísima,20000,449 918 67 30,https://museoeer.wixsite.com/muse/acerca-de-nosotros,,museoescarcega@hotmail.com,,-102.28575,21.88473,http://sic.gob.mx/ficha.php?table=museo&table_id=1808,24/09/2020 17:00
1169,Museo Nacional de la Muerte,Arte,19/06/2007,Universidad Autónoma de Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Rivero y Gutiérrez esq. Morelos,Centro,20000,(449) 910 74 00 ext. 7208,http://museonacionaldelamuerte.uaa.mx,,japadill@correo.uua.mx,,-102.29551,21.88397,http://sic.gob.mx/ficha.php?table=museo&table_id=1169,23/09/2019 07:09
602,Descubre. Museo Interactivo de Ciencia y Tecnología,Ciencia y tecnologia,20/11/1996,Instituto para el Desarrollo de la Sociedad y el Conocimiento del Estado de Aguascalientes (IDSCEA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. San Miguel s/n,Fracc. Jardines del Parque,20270,"(449) 978 03 38 exts. 124, 114",http://www.aguascalientes.gob.mx/descubre/,,atenciondescubre@gmail.com,descubreAGS,-102.28929,21.85596,http://sic.gob.mx/ficha.php?table=museo&table_id=602,25/02/2021 09:34
361,Museo de la Fauna ,Ciencia y tecnologia,24/04/1989,Secretaría del Medio Ambiente Estatal/CEAR Rodolfo Landeros Gallegos,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Blvd. José María Chávez s/n,Col. Ciudad Industrial,20290,(449) 688 10 87,http://www.aguascalientes.gob.mx/ssmaa/Areasverdes/cearRLG.html,,rquel.baccio@aguascalientes.gob.mx,,-102.29124,21.85177,http://sic.gob.mx/ficha.php?table=museo&table_id=361,21/08/2019 06:17
1047,Museo Comunitario del Deporte e Historia,Especializado,20/11/1994," Asociación Civil de Pabellonences, A.C.",1,Aguascalientes,6,Pabellón de Arteaga,1,Pabellón de Arteaga,Av. 16 de Septiembre s/n esq. Irrigación,Centro,20660,(449) 915 11 86,,,museocomunitariodeldeporteac@gmail.com,,-102.27492,22.14667,http://sic.gob.mx/ficha.php?table=museo&table_id=1047,16/10/2018 08:46
1453,Museo de Sitio los Arquitos,Historia,01/11/1994,Instituto Cultural de Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Alameda y Héroe de Nacozari,Barrio La Purísima,20000,(449) 916 92 01,,,c.culturallosarquitos@gmail.com,,-102.28221,21.88298,http://sic.gob.mx/ficha.php?table=museo&table_id=1453,18/02/2021 02:49
929,Museo Ferrocarrilero,Historia,04/03/2003,Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,"Plaza de las Tres Centurias, Av. 28 de Agosto s/n",Barrio de la Estación,20059,(449) 994 27 61 y 62,https://museosygalerias.com/conoce-mas/artist-1/,,mferrocarrilero@gmail.com,,-102.28093,21.88477,http://sic.gob.mx/ficha.php?table=museo&table_id=929,27/01/2021 04:43
1048,Museo de la Insurgencia,Historia,17/10/1964,Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión,1,Aguascalientes,7,Rincón de Romos,1,Rincón de Romos,Plaza 24 de Enero 19,Centro,20436,(465) 958 18 02,http://museosygalerias.com/museo-de-la-insurgencia/,,museodelainsurgencia@hotmail.com,,-102.34162,22.17491,http://sic.gob.mx/ficha.php?table=museo&table_id=1048,10/10/2019 05:20
219,Museo Regional de Historia de Aguascalientes,Historia,03/10/1988,Secretaría de Cultura/INAH,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Venustiano Carranza 118,Centro,20000,(449) 916 52 28,http://www.inah.gob.mx/red-de-museos/235-museo-regional-de-historia-de-aguascalientes,,aguascalientes.mrh@inah.gob.mx,,-102.2982,21.88035,http://sic.gob.mx/ficha.php?table=museo&table_id=219,20/02/2020 05:03
2157,Museo Nacional de los Pueblos Mágicos,,12/09/2019,Ayuntamiento de Calvillo/Secretaría de Turismo,1,Aguascalientes,3,Calvillo,1,Calvillo,Av. Benito Juárez 312,Centro,20800,(495) 956 07 06 ext. 5021,,,municipiodecalvillo@gmail.com,,-102.71875,21.84691,http://sic.gob.mx/ficha.php?table=museo&table_id=2157,18/02/2021 03:34
