estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,cantidad_museos,pobtot,habxm,habxm2,habxm3,museo_por,fecha_calculo
0,Estados Unidos Méxicanos,0,,0,,1404,112336538,80012,0.8,1.25,0,04/06/2021
1,Aguascalientes,0,,0,,16,1184996,74062,0.741,1.35,0,04/06/2021
1,Aguascalientes,1,Aguascalientes,0,,12,797010,66418,0.664,1.506,0,04/06/2021
1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,722250,60188,0.602,1.661,0,04/06/2021
1,Aguascalientes,3,Calvillo,0,,1,54136,54136,0.541,1.847,0,04/06/2021
1,Aguascalientes,3,Calvillo,1,Calvillo,1,19742,19742,0.197,5.065,0,04/06/2021
1,Aguascalientes,6,Pabellón de Arteaga,0,,1,41862,41862,0.419,2.389,0,04/06/2021
1,Aguascalientes,6,Pabellón de Arteaga,1,Pabellón de Arteaga,1,28633,28633,0.286,3.492,0,04/06/2021
1,Aguascalientes,7,Rincón de Romos,0,,1,49156,49156,0.492,2.034,0,04/06/2021
1,Aguascalientes,7,Rincón de Romos,1,Rincón de Romos,1,27988,27988,0.28,3.573,0,04/06/2021
1,Aguascalientes,11,San Francisco de los Romo,0,,1,35769,35769,0.358,2.796,0,04/06/2021
1,Aguascalientes,11,San Francisco de los Romo,1,San Francisco de los Romo,1,16124,16124,0.161,6.202,0,04/06/2021
2,Baja California,0,,0,,26,3155070,121349,1.213,0.824,0,04/06/2021
2,Baja California,1,Ensenada,0,,12,466814,38901,0.389,2.571,0,04/06/2021
2,Baja California,1,Ensenada,1,Ensenada,7,279765,39966,0.4,2.502,0,04/06/2021
2,Baja California,1,Ensenada,114,Francisco Zarco (Valle de Guadalupe),1,2664,2664,0.027,37.538,0,04/06/2021
2,Baja California,1,Ensenada,243,San Vicente,1,4362,4362,0.044,22.925,0,04/06/2021
2,Baja California,1,Ensenada,746,Santa Catarina,1,3,3,0,33333.333,0,04/06/2021
2,Baja California,1,Ensenada,857,San Quintín,1,4777,4777,0.048,20.934,0,04/06/2021
2,Baja California,1,Ensenada,1729,El Rosario de Abajo,1,409,409,0.004,244.499,0,04/06/2021
2,Baja California,2,Mexicali,0,,5,936826,187365,1.874,0.534,0,04/06/2021
2,Baja California,2,Mexicali,1,Mexicali,4,689775,172444,1.724,0.58,0,04/06/2021
2,Baja California,2,Mexicali,225,Michoacán de Ocampo,1,3086,3086,0.031,32.404,0,04/06/2021
2,Baja California,3,Tecate,0,,3,101079,33693,0.337,2.968,0,04/06/2021
2,Baja California,3,Tecate,1,Tecate,2,64764,32382,0.324,3.088,0,04/06/2021
2,Baja California,3,Tecate,65,Ejido Jacumé,1,290,290,0.003,344.828,0,04/06/2021
